ID,name,year,gold,silver,bronze
76,Australia,2008,31,42,76
77,Australia,2010,2,1,0
78,Australia,2012,18,37,59
79,Australia,2014,0,2,1
80,Australia,2016,23,34,25
81,Australia-1,1996,0,0,2
82,Australia-1,2000,2,0,0
83,Australia/Great Britain,1896,0,0,2
84,Austria,1896,2,1,2
85,Austria,1900,0,3,3
86,Austria,1904,1,1,1
87,Austria,1906,3,3,3
88,Austria,1908,0,0,1
89,Austria,1912,0,9,5
90,Austria,1924,3,4,1
91,Austria,1928,3,2,2
92,Austria,1932,2,2,3
93,Austria,1936,7,42,9
94,Austria,1948,3,5,8
95,Austria,1952,2,5,4
96,Austria,1956,3,3,8
97,Austria,1960,2,4,3
98,Austria,1964,3,3,3
99,Austria,1968,3,4,7
100,Austria,1972,1,3,4
101,Austria,1976,2,2,2
102,Austria,1980,4,5,2
103,Austria,1984,1,1,2
104,Austria,1988,4,5,4
105,Austria,1992,5,16,10
106,Austria,1994,2,3,7
107,Austria,1996,0,1,2
108,Austria,1998,3,5,12
109,Austria,2000,3,1,0
110,Austria,2002,3,4,13
111,Austria,2004,3,4,1
112,Austria,2006,14,7,7
113,Austria,2008,0,1,2
114,Austria,2010,9,9,6
115,Austria,2014,4,10,11
116,Austria,2016,0,0,2
117,Austria-1,1928,0,2,0
118,Austria-1,1936,0,2,0
119,Austria-1,1956,2,0,0
120,Austria-1,1964,2,4,0
121,Austria-1,1968,0,6,0
122,Austria-1,1976,0,0,2
123,Austria-1,1980,0,0,2
124,Austria-1,1992,4,0,0
125,Austria-1,2006,2,0,0
126,Austria-1,2010,2,0,0
127,Austria-1,2014,0,2,0
128,Austria-2,1928,0,0,2
129,Austria-2,1964,0,2,0
130,Azerbaijan,1996,0,1,0
131,Azerbaijan,2000,2,0,1
132,Azerbaijan,2004,1,0,4
133,Azerbaijan,2008,1,2,4
134,Azerbaijan,2012,2,2,6
135,Azerbaijan,2016,1,7,10
136,"BLO Polo Club, Rugby",1900,0,4,0
137,Baby-1,1900,1,0,1
138,"Bagatelle Polo Club, Paris",1900,0,0,4
139,Bahamas,1992,0,0,1
140,Bahamas,1996,0,5,0
141,Bahamas,2000,6,0,5
142,Bahamas,2004,1,0,1
143,Bahamas,2008,0,6,1
144,Bahamas,2012,4,0,0
145,Bahamas,2016,1,0,5
146,Bahrain,2012,0,0,1
147,Bahrain,2016,1,1,0
148,Ballerina IV,1960,0,0,3
149,Barbados,2000,0,0,1
150,Barion/Bari-2,1906,0,3,0
151,Barrenjoey,1964,3,0,0
152,Beatrijs III-1,1920,3,0,0
153,Belarus,1994,0,2,0
154,Belarus,1996,1,6,16
155,Belarus,1998,0,0,2
156,Belarus,2000,3,8,11
157,Belarus,2002,0,0,1
158,Belarus,2004,2,5,8
159,Belarus,2006,0,1,0
160,Belarus,2008,8,5,16
161,Belarus,2010,1,1,1
162,Belarus,2012,3,12,8
163,Belarus,2014,5,0,1
164,Belarus,2016,1,4,7
165,Belgium,1900,5,5,4
166,Belgium,1906,2,1,6
167,Belgium,1908,1,12,8
168,Belgium,1912,7,1,11
169,Belgium,1920,54,62,61
170,Belgium,1924,3,30,6
171,Belgium,1928,0,1,5
172,Belgium,1932,0,0,1
173,Belgium,1936,0,0,14
174,Belgium,1948,7,6,8
175,Belgium,1952,5,3,0
176,Belgium,1956,0,2,0
177,Belgium,1960,0,2,2
178,Belgium,1964,2,0,1
179,Belgium,1968,0,1,2
180,Belgium,1972,0,2,0
181,Belgium,1976,0,3,6
182,Belgium,1980,1,0,0
183,Belgium,1984,1,2,2
184,Belgium,1988,0,0,2
185,Belgium,1992,0,1,2
186,Belgium,1996,2,2,2
187,Belgium,1998,0,0,1
188,Belgium,2000,0,3,4
189,Belgium,2004,1,0,2
190,Belgium,2008,1,4,0
191,Belgium,2012,0,1,2
192,Belgium,2016,2,17,2
193,Belgium-1,1900,1,0,0
194,Belgium-1,1924,0,0,5
195,Bem II,1936,0,0,2
196,Bera,1924,5,0,0
197,Berliner Ruderclub,1908,0,0,2
198,Berliner Ruderverein von 1876-2,1912,0,0,9
199,Bermuda,1976,0,0,1
200,Bingo,1964,0,0,3
201,Bissbi,1932,4,0,0
202,Bluebottle,1956,0,0,3
203,Bohemia,1900,0,1,1
204,Bohemia,1906,0,0,3
